model,split,n,agreement_with_pseudo_label,pseudo_negative_share,pseudo_neutral_share,pseudo_positive_share,label_source
base_vader,development,75,0.44,0.09333333333333334,0.8533333333333334,0.05333333333333334,automated_rule_based_pseudo_label
base_vader,holdout,45,0.3333333333333333,0.1111111111111111,0.8222222222222222,0.06666666666666667,automated_rule_based_pseudo_label
base_vader,all,120,0.4,0.1,0.8416666666666667,0.058333333333333334,automated_rule_based_pseudo_label
week9_finvader,development,75,0.6,0.09333333333333334,0.8533333333333334,0.05333333333333334,automated_rule_based_pseudo_label
week9_finvader,holdout,45,0.4888888888888889,0.1111111111111111,0.8222222222222222,0.06666666666666667,automated_rule_based_pseudo_label
week9_finvader,all,120,0.5583333333333333,0.1,0.8416666666666667,0.058333333333333334,automated_rule_based_pseudo_label
signal_harbour,development,75,0.5866666666666667,0.09333333333333334,0.8533333333333334,0.05333333333333334,automated_rule_based_pseudo_label
signal_harbour,holdout,45,0.4222222222222222,0.1111111111111111,0.8222222222222222,0.06666666666666667,automated_rule_based_pseudo_label
signal_harbour,all,120,0.525,0.1,0.8416666666666667,0.058333333333333334,automated_rule_based_pseudo_label
