base_method,tilt_strength,cost_bps,observations,annualised_return,annualised_volatility,sharpe,max_drawdown,terminal_growth,avg_annual_turnover
Equal Weight,0.15,0.0,752,0.13238675451341808,0.16101723137121357,0.8527615991147228,-0.20212364289296503,1.449196519654362,0.49765824005550896
Equal Weight,0.35,0.0,752,0.13167419291032822,0.16093230988254673,0.849214121189003,-0.20236373167432364,1.446476944433892,0.5226175159923833
Equal Weight,0.6,0.0,752,0.13080970388661695,0.16083035973353435,0.844897403915892,-0.20263543230770564,1.4431820787217946,0.5807714391491109
Risk Parity,0.15,0.0,752,0.10386622855747474,0.14520670788011455,0.7532130059070998,-0.18423113697895066,1.3429756150046095,0.5496391159363468
Risk Parity,0.35,0.0,752,0.10343533686553408,0.145149017645666,0.7507639687081475,-0.18442141683055713,1.341411859292564,0.5745404719847723
Risk Parity,0.6,0.0,752,0.10291946227674553,0.14508061063415134,0.7478252299735194,-0.18463493793648467,1.3395412837796066,0.6281957228630404
Minimum Variance,0.15,0.0,752,0.05343890447203825,0.12725498102330943,0.47272666344264325,-0.14947105666017102,1.168070836730671,1.9008415428705165
Minimum Variance,0.35,0.0,752,0.05320768112480545,0.1272316149542896,0.47106429737637656,-0.14947463740783717,1.1673059198601723,1.9136488971278247
Minimum Variance,0.6,0.0,752,0.05292031271227282,0.12721011072871516,0.4689766418371848,-0.14946663114510028,1.16635573208978,1.9354931339544175
