sleeve,fund,cost_bps,sharpe,annualised_return,terminal_growth,max_drawdown,avg_annual_turnover,observations
base,Equity - Minimum Variance,0.0,0.47396906858426285,0.053613108144164645,1.168647,-0.14946237982571187,1.8983543011790762,752
fusion,Equity - Minimum Variance + Context-Weighted Sentiment,0.0,0.47106429737637656,0.05320768112480545,1.167306,-0.14947463740783717,1.9136488971278247,752
base,Equity - Minimum Variance,5.0,0.4666043989640631,0.05261707444004715,1.165354,-0.14981968098289566,1.8983543011790762,752
fusion,Equity - Minimum Variance + Context-Weighted Sentiment,5.0,0.46363564376164235,0.05220395694047686,1.163989,-0.1498392698390384,1.9136488971278247,752
base,Equity - Minimum Variance,10.0,0.4592341255031923,0.051621880020030764,1.162069,-0.15017686670719088,1.8983543011790762,752
fusion,Equity - Minimum Variance + Context-Weighted Sentiment,10.0,0.45620137151339374,0.05120108598650375,1.160682,-0.1502037812644591,1.9136488971278247,752
base,Equity - Minimum Variance,25.0,0.43709092135898703,0.0486413261937817,1.152268,-0.1512477315494647,1.8983543011790762,752
fusion,Equity - Minimum Variance + Context-Weighted Sentiment,25.0,0.4338661077778608,0.04819758607167124,1.150814,-0.15129658979568772,1.9136488971278247,752
