model,split,n,agreement_with_kaiyuan_label,kaiyuan_negative_share,kaiyuan_neutral_share,kaiyuan_positive_share,label_source
base_vader,development,75,0.48,0.2,0.21333333333333335,0.5866666666666667,kaiyuan_review_label
base_vader,holdout,45,0.4888888888888889,0.17777777777777778,0.15555555555555556,0.6666666666666666,kaiyuan_review_label
base_vader,all,120,0.48333333333333334,0.19166666666666668,0.19166666666666668,0.6166666666666667,kaiyuan_review_label
week9_finvader,development,75,0.48,0.2,0.21333333333333335,0.5866666666666667,kaiyuan_review_label
week9_finvader,holdout,45,0.6,0.17777777777777778,0.15555555555555556,0.6666666666666666,kaiyuan_review_label
week9_finvader,all,120,0.525,0.19166666666666668,0.19166666666666668,0.6166666666666667,kaiyuan_review_label
signal_harbour,development,75,0.56,0.2,0.21333333333333335,0.5866666666666667,kaiyuan_review_label
signal_harbour,holdout,45,0.6888888888888889,0.17777777777777778,0.15555555555555556,0.6666666666666666,kaiyuan_review_label
signal_harbour,all,120,0.6083333333333333,0.19166666666666668,0.19166666666666668,0.6166666666666667,kaiyuan_review_label
